src,vmag,k,peak,n_at_peak,badfrac
36903,19.756450530114655,0,13.411079,1,0.0
36938,21.938715971880978,0,1.7097235,1,0.0
37087,18.558859529200127,0,37.050957,1,0.0
7129,17.425386245072993,0,124.37039,1,0.012345679012345678
11018,20.444005877237338,0,6.500749,1,0.0
37245,21.37030615531809,0,3.0490425,1,0.0
37248,21.244178751470525,0,3.962454,1,0.0
11473,20.820869229042184,0,4.34948,2,0.0
20103,22.135155778779364,0,1.8241442,1,0.0
37415,20.32226160781529,0,6.827839,2,0.0
7154,22.310395615906955,0,1.5419636,1,0.0
37484,19.20436477525356,0,21.34788,1,0.0
5999,21.47914170551453,0,2.2551801,1,0.0
20308,22.007319251172788,0,1.9188808,1,0.0
2744,18.822445087920876,0,1.3377012,1,0.7901234567901234
19422,20.548132659844466,0,5.384391,1,0.0
19469,18.02634803498098,0,63.87378,1,0.0
19378,18.8247007763355,4,25.522055,1,0.0
19512,19.511094407814653,0,14.616734,1,0.0
36255,19.517837705629717,0,18.123102,1,0.0
4399,20.99399789804411,0,3.8644023,2,0.0
11374,20.911895506927834,3,5.0352535,1,0.0
36853,16.897209023730905,0,1.8402854,1,0.48148148148148145
37267,21.285816757276294,0,3.65309,1,0.0
37571,20.46109010934098,0,7.546997,1,0.0
20233,18.376997942625998,0,45.09089,1,0.0
37732,21.18731386285095,0,4.165772,1,0.0
